date,title,url,content
2025-11-03,الفجوة بين الموظف العادي والمتميز مع الذكاء الاصطناعي,https://www.linkedin.com/posts/maryam-%F0%9F%A7%A0%F0%9F%93%9A-10792a236_%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D9%84%D9%86-%D9%8A%D9%82%D9%84%D9%84-%D8%A7%D9%84%D9%81%D8%AC%D9%88%D8%A9-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D9%85%D9%88%D8%B8%D9%81-activity-7391091798690988032-RMRN,"الذكاء الاصطناعي لن يقلل الفجوة بين الموظف ""العادي"" والموظف ""المتميز"", بل سيزيدها. 📈 🤖

لأن الموظف المتميز بطبيعته منفتح على التطور، يجرب الأدوات الجديدة بدون تردد، ويتعامل مع التقنية كفرصة يتعلم منها.
ما ينتظر إذن من الإدارة، ولا يخاف يخطئ. يبدأ، يجرب، ويكتشف بنفسه.

أما الموظف العادي؟
يخاف، يتردد، ينتظر السماح.
يشوف الذكاء الاصطناعي كتهديد، مو كأداة تساعده.
ومع الوقت المسافة بينه وبين المتميز تزيد، خطوة بعد خطوة، لين يصير الفرق واضح للكل.

مثال بسيط:
في الـ Prompt Engineering، المتميز يسأل أسئلة ذكية مليانة تفاصيل: السوق، المنافسين، الاتجاهات، وحتى التحديات الجيوسياسية.
بينما العادي يقول: “حلل السوق” ويتفاجأ إن الإجابة سطحية.

الفرق؟ مو في الأداة، الفرق في جودة التفكير.🧠

المتميز يعرف يميز بين الجواب الصح والغلط،
وحتى لما يغلط الذكاء الاصطناعي، يعرف يصححه.

وهنا تبدأ بيئة العمل تتغير… البعض يتطور، والبعض يحاول يبرر تأخره."
2025-10-30,اكتئاب ما بعد تحقيق الأهداف وOutrunning Our Dream,,"اذا حققت اهدافك غالبا راح يجيك ""اكتئاب"" الا في حالة وحده؟ 🤔

بالبداية بشرحلك ليش يصير هذا الاكتئاب بعد تحقيق الأهداف، وحتى رواد الفضاء عاشوا نفس الحالة بعد رجعتهم من القمر.

السبب شيء يسمونه Outrunning Our Dream، يعني تكون طول الوقت تسعى وراء حلمك… الحرية المالية، السفر حول العالم، وغيرها.. أياً كان الهدف. طيب حققته… وبعدين؟ هل أنت جاهز للمرحلة اللي بعدها؟ وين أهدافك الجديدة؟

اللي يصير ببساطة إنك توصل لهدفك وما عندك شي بعده. وهنا يبدأ الفراغ المسبب للاكتئاب.

مثال رواد الفضاء: بعد هبوطهم على القمر واحتفل فيهم العالم كله، رجعوا للأرض وبدأوا يحسون بالاكتئاب. ليه؟ لأن هدفهم الأكبر تحقق وحياتهم كلها كانت تدور حوله، وبعده ما كان فيه هدف واضح يكملون فيه. كان ممكن يتجنبون الشعور هذا لو حطوا أهداف تالية مثلاً استكشاف كواكب ثانية أو نقل خبرتهم لمجالات جديدة.

عشان تتجنب هذا النوع من الاكتئاب، لازم تكون عندك قائمة أهداف متجددة. كل ستة شهور راجعها، طورها، وخلك دائمًا جاهز للخطوة اللي بعدها قبل حتى ما تخلص الحالية.

ولو نبي مثال حي على شخص ما يوقف عند هدف واحد، فـ”إيلون ماسك” أفضل مثال: من الصواريخ إلى الذكاء الاصطناعي، إلى المريخ وبناء حياة بشرية هناك وكل مرة يبدأ من الصفر، وكل مرة يشعل شغفه من جديد.💛
وهذا بالضبط سر الاستمرار والشغف الحقيقي.🌱"
2025-10-25,أداة قوقل لمراقبة إعلانات المنافسين,,"هل تتخيل إنك تقدر تتابع كل إعلانات المنافسين من مكان واحد، وبالمجان؟ 😎

كالعادة، قوقل تواصل إبهارنا بسرعة التطوير والشفافية.💛
الآن تقدر تطلع على جميع الإعلانات المعروضة في منطقتك (أو أي منطقة) عبر هذا الرابط:

🔍 https://lnkd.in/ebQBa94f

أداة مذهلة لمحترفي التسويق، تحليل الحملات، ومراقبة تحركات السوق.

استمتع بالتحليل! 🧐📊"
2025-10-15,التفكير بمبدأ الفيزياء الأولى First Principles,,"""الفيزياء الاولى"" طريقة تفكير يستخدمها ايلون ماسك في جميع شركاته وهي سبب نجاحه..وش تعرف عنها؟ 

ببساطة، هي منهج تفكير يبدأ من الصفر.
بدل ما تبني أفكارك على ما هو موجود، أو على ما اعتاد عليه الناس. 
ترجع للأساس، للحقائق الأولية، بدون أي افتراضات جاهزة.

تتجاهل كل شيء “مفترض”، وتبدأ من:
– وش نعرف فعلاً؟
– وش ممكن نعيد تصوره؟
– ليه نسويها كذا؟ هل فيه طريقة أفضل بس ما فكرنا فيها؟

إيلون ماسك طبقها على الصواريخ.
بدل ما يقبل بسعر 100 مليون لصاروخ رجع للمكونات.
كم يكلف المعدن؟ كم تكلف الإلكترونيات؟
واكتشف إن بالإمكان تصنيع صاروخ بأقل من ربع السعر.

الفكرة هنا مو في الصواريخ 
الفكرة إنك تفكك المشكلة، وتعيد بناءها من الصفر بطريقتك.

وجرب هالأسئلة قدام أي تحدي عندك:

🔸 وش أعرف فعليًا عن هالموضوع؟
🔸 هل كل شيء أصدقه الآن… فعلاً صحيح؟
🔸 لو ما كان فيه أي حل جاهز، كيف ممكن اوجد حل واحد؟
🔸 وش الأساس اللي أقدر أبدأ منه بدون ما أقلد أحد؟

طريقة “الفيزياء الأولى” ما تحتاج تكون عالم 
تحتاج بس إنك تتجرأ تسأل.
وتعيد التفكير، قبل لا تبدأ التنفيذ. 🧠💛"
2025-09-25,إحصائيات من المنتدى الدولي للأمن السيبراني,,"من #المنتدى_الدولي_للأمن_السيبراني
النقص العالمي في مهارات الأمن السيبراني مستمر 📈
تحدي كبير وفرصة للجيل الحالي والقادم. 

إحصائيات من المنتدى أدهشتني:

 • النساء تمثل 32٪ من القوة العاملة في الأمن السيبراني في السعودية، وهي نسبة أعلى من المتوسط العالمي (24٪).

 • النقص العالمي يُقدر بحوالي 2.8 مليون محترف.

 • فقط 14٪ من المؤسسات تقول إنها تمتلك المهارات السيبرانية الكافية داخليًا.

 • متوسط تكلفة الهجمة السيبرانية عالميًا يصل إلى 4.44 مليون دولار (2025).

 • مساهمة الأمن السيبراني في الناتج المحلي الإجمالي السعودي تبلغ 18.5 مليار ريال.

 • عدد العاملين في المجال في السعودية يزيد على 21,000 محترف، مع نمو سنوي يقدر بـ9٪."
2025-09-15,إعادة برمجة الدماغ لبناء عادة القراءة,,"(اقرأ وربك الأكرم )
كيف تقدر تبرمج خلايا مخك العصبية وتبني مسارات جديدة تخلي القراءة ممتعة وسهلة عليك؟ 🧠 

في البداية مو بس تبني عادة القراءة، الموضوع يحتاج الى برمجة الخلايا العصبية لأن كل خلية مرتبطة بعاداتك وأفكارك القديمة، فلازم تكسر هذا الـ pattern القديم وتخلق واحد جديد فيه حب وشغف للقراءة ومن هنا بكل سهولة بتصير قارئ.

باختصار، كيف تعيد برمجة خلاياك العصبية؟
 1. ابدأ تدريجيًا: 10-15 دقيقة يوميًا كافية عشان تهيء دماغك وتعيد تشكيل الشبكات العصبية اللي تتحكم بالتركيز والفهم.
 2. ارتبط عاطفيًا: اختار كتب تثير فضولك، لأن دماغك يتعلم أسرع لما يكون متحمس ومنجذب.
 3. استمر: التكرار يبني العادة، ومع الوقت بتتكون مسارات عصبية تخلي القراءة أسهل وأمتع.
 4. قلل المشتتات: أبعد جوالك والإشعارات وقت القراءة عشان دماغك يدخل في حالة (Flow).

وللي يستبدلون الكتب بالبودكاست أو الكتب الصوتية، الفرق بسيط:
 • عمق الفهم: القراءة تنشط مناطق أكبر في الدماغ (الفص الجبهي والفص الجداري) وهذا يعزز الفهم والتحليل والتخيل.
 • التحكم بالسرعة: تقدر توقف، تفكر، تلخص، أو ترجع بسهولة.
 • الذاكرة والتركيز: القارئ يحتفظ بالمعلومات لفترة أطول مقارنة بالاستماع السريع.
 • تطوير المفردات: القراءة توسع مفرداتك وتساعدك تكتب أفضل.

ببساطة: 
القراءة مو بس هواية، هي تمرين عقلي وروحي. لما تبدأ تستمر فيها، دماغك يعيد ترتيب نفسه ويجعلها عادة طبيعية.💛📚"
2025-10-03,آدا لوفلايس وأول كود في التاريخ,,"أول مبرمجة في التاريخ كانت امرأة!👩🏻‍💻
اسمها ""آدا لوفلايس"" وكتبت أول كود عام 1843، قبل ظهور الكمبيوتر بأكثر من 100 سنة!

ومعلومة مهمة لكل من يسأل: 🤔
هل الذكاء الاصطناعي راح يستبدل المبرمج؟ 
""لا"" لأن المبرمج هو اللي يصنع الذكاء الاصطناعي🤖 

كل الاحترام والتقدير لهذا المجال العظيم.💛"
2025-08-25,أشهر كورس بجامعة ييل: The Science of Well-Being,,"عرف وش أشهر كورس في تاريخ جامعة ييل؟ كورس غير حياة ملايين، ويعتبر من أكثر الكورسات شهرة في تاريخ التعليم الإلكتروني.

الكورس عبارة عن رحلة علمية وعملية بتخليك تفهم:
 • ليه سعينا خلف أشياء معينة (مثل الفلوس، المنصب، الشهرة) ما يخلينا سعيدين فعلًا؟
 • وش العادات البسيطة اللي ترفع طاقتك وتحسسك بالرضا؟
 • كيف تغيّر طريقة تفكيرك اليومية وتبني سلوكيات تعيش معك طول عمرك؟
 • وكيف تستخدم قدرات عقلك بطريقة ذكية عشان توصل لتوازن وراحة نفسية مستمرة؟

كل شي في الكورس مبني على أبحاث علم النفس الإيجابي وتقدمه دكتورة لوري سانتوس وشخصيًا كان لها فضل كبير بعد الله في تغيير نظرتي للحياة وأنا في العشرينات. 🌱

اسم الكورس: 
‏The Science of Well-Being
والمفاجأة؟ الكورس مجاني.

نصيحه لا تشوفه وانت مستعجل استمتع بالرحلة وطبق اللي تعلمته. 💛

https://lnkd.in/eEvhrTVu"
2025-08-10,فلسفة كايزن للتحسين المستمر,,"سر ياباني بسيط غير طريقة تفكيرهم… وصار التحسين المستمر أسلوب حياة 🇯🇵

في اليابان فيه مصطلح اسمه Kaizen يستخدمونه كثير في البزنس، العلاقات، وحتى الحياة اليومية. 
 ‏ 
ايش معناه؟ تحسين مستمر.
 ‏Kaizen = تحسين بسيط، يومي، متراكم.

ما تنتظر “اللحظة المثالية”
تبدأ اليوم، بخطوة صغيرة
وبكرة خطوة ثانية
وبعد أسبوع تلاحظ فرق
وبعد سنة؟ تكون شخص ثاني.

التحسين ما يحتاج قفزه … يحتاج استمرارية.
وهذا هو سر Kaizen 🌱 

عندهم مثل يقول:
“إذا ما شفت صاحبك من 3 أيام، خذ وقتك وركز فيه… يمكن صار إنسان مختلف.”
لأن التحسين يكون مستمر ويبين حتى خلال أيام.

وفي اللغة الانجليزية مافي كلمة تعطي نفس المفهوم لذلك الكاتب اقترح كلمة CANI:
 ‏Constant And Never-ending Improvement  
تحسين مستمر… لا ينتهي أبداً.

وربطها في أسئلة يومية تسألها نفسك كل يوم: 
 • وش تعلمت؟
 • وش حسنت؟
 • وش استمتعت فيه؟

وهذا هو المقياس الحقيقي للنمو.

ببساطة  
تحتاج تحسين بسيط كل يوم… وتخليه أسلوب حياة  
وبتكتشف نسخة منك حتى أنت ما كنت تتخيلها. 🌱"
2025-07-30,الشركات الصغيرة مقابل الكبيرة: أين تتعلم ريادة الأعمال؟,,"الشركات الصغيرة vs الشركات الكبيرة  
وش البيئة اللي تصنع منك رائد أعمال حقيقي؟ 

إذا كان تركيزك على المسار الوظيفي الواضح، والترقية، والمسميات الوظيفية… فالشركات الكبيرة غالبًا بتناسبك. 
لكن اذا هدفك تفهم البزنس من جذوره، وتكون عقلية صاحب مشروع، وتطور مهارات تصنع منك شي مختلف… الشركات الصغيرة هي المكان اللي يصقلك.

ببساطة لانك: 

1. تعيش ريادة الأعمال على حقيقتها  
في الشركات الصغيرة، التحديات قدامك كل يوم.  
مو بس تشوف قرارات جاهزة، أنت جزء منها.  
تشوف كيف كل ريال يفرق وكيف قرار بسيط يغير مسار.  
ما تحس إنك مجرد موظف… تحس إنك جزء من البناء والنجاح.  
وتبدأ تفكر كأنك صاحب المشروع، حتى لو ما كنت المؤسس. 

2. تشوف الصورة كاملة  
تشتغل في أكثر من قسم، وتبدأ تفهم كيف الأقسام مرتبطة ببعض وتأثر على بعض.  
وهذا قليل تلقاه في الشركات الكبيرة، لأن كل واحد محصور في شغله بس.

3. كل يوم في تحدي جديد  
أنت تتعلم لأنك لازم تتعلم.  
تحل مشكلات، تبتكر حلول، وتتحمل مسؤولية حقيقية.  
النتيجة؟  
تصير مرن، فاهم، وتعرف تدبر أمورك في أي موقف.

4. تطورك سريع في الحياة  
تتعلم وتطبق بنفس الوقت.  
ما تنتظر دورة أو تقييم سنوي.  
التعلم يصير مع كل مهمة يومية.  
تغلط، تتعلم، تصحح، وتشوف الفرق في نفسك خلال شهور، مو بعد سنين.

الخلاصة؟  
إذا هدفك تبني مشروع ابدأ من الشركات الصغيرة.  
لأنها تعلمك أشياء ما تنكتب في الوصف الوظيفي:  
 • تفكير رائد أعمال  
 • مهارات متعددة  
 • فهم للسوق  
 • مرونة وذكاء في التعامل  

“النجاح لا يأتي من قوة الفكرة فقط، بل من قدرة تنفيذها وتعلمك المستمر.” — إيلون ماسك"
